stefano	missile_defense international_organization missile korea interceptor	1
stefano	arm operation necessary_operation military_operation special_operation_capability	0
stefano	alliance_with_europe group alliance importance organization	3
stefano	japan country africa chile china	3
stefano	friendship opportunity asia promise prosperity	2
stefano	korea vietnam japan ship country	3
stefano	offensive_capability group weapon deterrence advance_military_capability	1
stefano	nuclear missile korea nuclear_proliferation organization	4
stefano	security fight_against_terrorism transnational_terrorism terrorist alliance_with_europe	4
stefano	solidarity man agreement unequivocal_commitment continuation	1
stefano	squadron cruiser submarine africa navy	3
stefano	life today international_organization encourage participation	2
stefano	measure issue conviction criminal privacy_rights	4
stefano	civil_rights equal_rights_amendment equal_citizenship_rights human_rights_sanction person	4
stefano	brazil cuban uruguay environmental_regulation free_cuba	3
stefano	review organization ideology rights agency	2
stefano	means exception issue consumer exchange	1
stefano	person exception dignity process principle	2
stefano	network organization democracy issue discrimination	0
stefano	organization issue trust state_institution society	1
stefano	group conviction advocacy effective_aid_organization society	1
stefano	measure vote political_indoctrination democracy issue	0
stefano	society senate ideology tolerance freedom	1
stefano	fight department afghanistan conflict enemy	1
stefano	congress republican_platform election romney vote	0
stefano	authority mandate authority_of_state chronic_corruption protection	3
stefano	epa_regulation consumer state_regulation effective_regulation regulation_affect	1
stefano	payment bailout borrower savings mortgage	2
stefano	lender borrower entrepreneur bank insurer	2
stefano	pregnancy_discrimination wage_discrimination gender retirement employment_discrimination	3
stefano	grassland gender habitat ecosystem forest	1
stefano	high_quality_healthcare healthcare healthcare_provider liability poor_quality_healthcare	3
stefano	office world-class_public_education education_choice secondary_education education_help	0
stefano	gender ability run fair victory	0
stefano	credit ability historic_investment investment investment_in_healthcare	1
stefano	tribal_community immigrant_community other_community_group action_at_home public	3
stefano	adoption_alternative public_transportation public_school work law	0
stefano	adoption legal_abortion compulsory_abortion great_opportunity amendment	3
stefano	concept day age home kid	0
stefano	determination rate religious patriotism notion	1
stefano	leadership national_leadership department leadership_position position	2
stefano	reality dream mandatory_prison_sentence kid everybody	2
stefano	risk likely behavior rate embryo	4
stefano	enforcement activity sex victim gang	1
stefano	compulsory_abortion treatment_involve unacceptable_treatment drug_treatment therapy	0
stefano	nationality visa responsible_citizenship permit fetus	4
stefano	employment_opportunity great_opportunity_party rural_america manage opportunity	2
stefano	break protection greater_assistance law davisbacon_law	0
stefano	goods investment food feed food_production	1
stefano	chance gain pension thanks uncertainty	2
stefano	farm implement strategy reform process	0
stefano	high_unemployment_rate rate income gain income	2
stefano	employee company investment manufacturer police	4
stefano	democrat campaign governor rural_america election	3
stefano	student child pension nurse father	2
stefano	pension_guaranty_benefit company taxpayer medicaid mortgage	1
stefano	agriculture rural_america manage rural farm	2
stefano	job_search_assistance retirement opportunity company work	3
